Company,Title,Data,Call,Message,Telecom,AfterDataSpeed,DiscountMonth,Price
아이즈모바일,아이즈 (10GB/200분),10GB,200분,200건,SKT,,12개월,"8,500"
아이즈모바일,아이즈 (10GB/200분),10GB,200분,200건,SKT,,12개월,"8,500"
아이즈모바일,아이즈 100GB+,100GB,기본제공,기본제공,KT,5Mbps속도제한 무제한,없음,"42,680"
아이즈모바일,아이즈 100GB+,100GB,기본제공,기본제공,KT,5Mbps속도제한 무제한,없음,"42,680"
아이즈모바일,아이즈 100GB+,100GB,기본제공,기본제공,KT,5Mbps속도제한 무제한,없음,"42,680"
아이즈모바일,아이즈 (10GB/100분),10GB,100분,100건,SKT,,12개월,"8,200"
아이즈모바일,아이즈 (10GB/100분),10GB,100분,100건,SKT,,12개월,"8,200"
아이즈모바일,아이즈 (10GB/100분),10GB,100분,100건,SKT,,12개월,"8,200"
아이즈모바일,아이즈 (10GB/100분),10GB,100분,100건,SKT,,12개월,"8,200"
아이즈모바일,아이즈 (10GB/100분),10GB,100분,100건,SKT,,12개월,"8,200"
아이즈모바일,아이즈 (10GB/100분),10GB,100분,100건,SKT,,12개월,"8,200"
아이즈모바일,아이즈 (10GB/100분),10GB,100분,100건,SKT,,12개월,"8,200"
아이즈모바일,데이터없는 29 (180분/100MB),100MB,180분,80건,SKT,,없음,"2,950"
아이즈모바일,아이즈 11GB+,11GB											+2GB/일,기본제공,기본제공,KT,3Mbps속도제한 무제한,없음,"39,900"
아이즈모바일,아이즈 15GB+,15GB,100분,100건,LGU+,3Mbps속도제한 무제한,없음,"28,600"
아이즈모바일,아이즈 15GB+,15GB,100분,100건,LGU+,3Mbps속도제한 무제한,없음,"28,600"
아이즈모바일,아이즈 15GB+,15GB,100분,100건,LGU+,3Mbps속도제한 무제한,없음,"28,600"
아이즈모바일,아이즈 15GB+,15GB,100분,100건,LGU+,3Mbps속도제한 무제한,없음,"28,600"
아이즈모바일,아이즈 15GB+,15GB,100분,100건,LGU+,3Mbps속도제한 무제한,없음,"28,600"
아이즈모바일,아이즈 15GB+,15GB,100분,100건,LGU+,3Mbps속도제한 무제한,없음,"28,600"
아이즈모바일,아이즈 15GB+,15GB,100분,100건,LGU+,3Mbps속도제한 무제한,없음,"28,600"
아이즈모바일,아이즈 15GB+,15GB,100분,100건,LGU+,3Mbps속도제한 무제한,없음,"28,600"
아이즈모바일,아이즈 15GB+,15GB,100분,100건,LGU+,3Mbps속도제한 무제한,없음,"28,600"
아이즈모바일,아이즈 15GB+,15GB,100분,100건,LGU+,3Mbps속도제한 무제한,없음,"28,600"
아이즈모바일,아이즈 15GB+,15GB,100분,100건,LGU+,3Mbps속도제한 무제한,없음,"28,600"
아이즈모바일,아이즈 15GB+,15GB,100분,100건,LGU+,3Mbps속도제한 무제한,없음,"28,600"
아이즈모바일,아이즈(100분/1GB+),1GB,100분,100건,LGU+,1Mbps속도제한 무제한,6개월,"6,000"
