Company,Title,Data,Call,Message,Telecom,AfterDataSpeed,DiscountMonth,Price
토스모바일,5G 라이트 200GB,200GB + 10Mbps,기본제공,기본제공,KT,10Mbps,7개월,45800
토스모바일,5G 라이트 110GB,110GB + 5Mbps,기본제공,기본제공,KT,5Mbps,7개월,40800
토스모바일,5G 라이트 30GB,30GB + 1Mbps,기본제공,기본제공,KT,1Mbps,7개월,34800
토스모바일,캐시백 100GB,100GB + 5Mbps,기본제공,기본제공,KT,5Mbps,7개월,46800
토스모바일,캐시백 71GB,71GB + 3Mbps,기본제공,기본제공,KT,3Mbps,7개월,41800
토스모바일,라이트 71GB,71GB + 3Mbps,기본제공,기본제공,KT,3Mbps,7개월,28800
토스모바일,라이트 15GB,15GB + 3Mbps,100분분,100건건,KT,3Mbps,7개월,24800
토스모바일,라이트 7GB,7GB + 1Mbps,기본제공,기본제공,KT,1Mbps,7개월,16800
토스모바일,평생 할인 100GB,100GB + 5Mbps,기본제공,기본제공,LGU,5Mbps,없음,42800
토스모바일,평생 할인 71GB,71GB + 3Mbps,기본제공,기본제공,LGU,3Mbps,없음,36800
토스모바일,평생 할인 15GB,15GB + 1Mbps,기본제공,기본제공,LGU,1Mbps,없음,25800
토스모바일,평생 할인 10GB,10GB + 1Mbps,기본제공,기본제공,LGU,1Mbps,없음,23800
토스모바일,평생 할인 7GB,7GB + 1Mbps,기본제공,기본제공,LGU,1Mbps,없음,19800
토스모바일,라이트 100GB,100GB + 5Mbps,기본제공,기본제공,LGU,5Mbps,없음,30800
토스모바일,24개월 100GB,100GB + 5Mbps,기본제공,기본제공,LGU,5Mbps,없음,33800
토스모바일,라이트 71GB,71GB + 3Mbps,기본제공,기본제공,LGU,3Mbps,없음,24800
토스모바일,24개월 71GB,71GB + 3Mbps,기본제공,기본제공,LGU,3Mbps,없음,29800
토스모바일,라이트 15GB,15GB + 3Mbps,100분분,100건건,LGU,3Mbps,없음,20800
토스모바일,라이트 10GB,10GB + 1Mbps,기본제공,기본제공,LGU,1Mbps,없음,12800
토스모바일,라이트 7GB,7GB + 1Mbps,기본제공,기본제공,LGU,1Mbps,없음,10800
