Company,Title,Data,Call,Message,Telecom,AfterDataSpeed,DiscountMonth,Price
티플러스,완전마음껏 11GB＋＋(CU 20%할인),11GB+ 일 2GB+ 최대 3Mbps           ,기본제공,기본제공,KT,없음,6개월,"19,580"
티플러스,티플 마음껏 매일5G＋_24개월할인, 일 5GB+ 최대 5Mbps           ,기본제공,기본제공,LGU,없음,23개월,"28,600"
티플러스,티플 가성비(300분/6GB),6GB           ,300분,300건,SKT,없음,6개월,"1,490"
티플러스,완전마음껏 11GB＋＋(밀리의서재),11GB+ 일 2GB+ 최대 3Mbps           ,기본제공,기본제공,KT,없음,6개월,"19,580"
티플러스,완전마음껏 11GB＋＋(네이버페이 매월 5000P),11GB+ 일 2GB+ 최대 3Mbps           ,기본제공,기본제공,KT,없음,6개월,"21,100"
티플러스,5G 티플 5GB(5GB/300분),5GB           ,300분,100건,SKT,없음,6개월,990
티플러스,The 완전마음껏7G＋(예스24 e북)_12개월할인,7GB+ 최대 1Mbps           ,기본제공,기본제공,LGU,없음,11개월,"10,010"
티플러스,완전마음껏 7GB＋＋(밀리의서재),7GB+ 최대 1Mbps           ,기본제공,기본제공,KT,없음,6개월,"8,030"
티플러스,완전마음껏 7GB＋＋(네이버페이 매월 5000P),7GB+ 최대 1Mbps           ,기본제공,기본제공,KT,없음,6개월,"8,800"
티플러스,티플 위드유 7GB＋(G car)_12개월할인,7GB+ 최대 1Mbps           ,기본제공,기본제공,SKT,없음,11개월,"9,500"
티플러스,티플 위드유 11GB＋(G car)_12개월할인,11GB+ 일 2GB+ 최대 3Mbps           ,기본제공,기본제공,SKT,없음,11개월,"22,900"
티플러스,티플 가성비(300분/6GB),6GB           ,300분,300건,LGU,없음,4개월,"2,370"
티플러스,티플포유(3G/500분),3GB           ,500분,100건,LGU,없음,4개월,"1,980"
티플러스,티플포유(5G/100분),5GB           ,100분,100건,LGU,없음,4개월,"2,420"
티플러스,완전마음껏 15GB＋＋(CU 20%할인),15GB+ 최대 1Mbps           ,기본제공,기본제공,KT,없음,6개월,"9,570"
티플러스,The 완전마음껏15G＋_24개월할인,15GB+ 최대 1Mbps           ,기본제공,기본제공,LGU,없음,23개월,"14,850"
티플러스,티플 완전마음껏7G＋_24개월할인,7GB+ 최대 1Mbps           ,기본제공,기본제공,LGU,없음,23개월,"12,650"
티플러스,티플 완전마음껏11G＋_24개월할인,11GB+ 일 2GB+ 최대 3Mbps           ,기본제공,기본제공,LGU,없음,23개월,"24,200"
티플러스,The 완전마음껏10G＋(예스24 e북)_12개월할인,10GB+ 최대 1Mbps           ,기본제공,기본제공,LGU,없음,11개월,"11,550"
티플러스,The 데이터마음껏15G＋(100분)(예스24 e북)_12개월할인,15GB+ 최대 3Mbps           ,100분,100건,LGU,없음,11개월,"18,920"
