Company,Title,Data,Call,Message,Telecom,AfterDataSpeed,DiscountMonth,Price
헬로모바일,2.5GB+/무제한,  2.5GB,음성기본제공,기본제공,KT,400 Kbps,없음,"25,100"
헬로모바일,3GB+/무제한,  3GB,음성기본제공,기본제공,KT,1 Mbps,없음,"30,900"
헬로모바일,7GB+/무제한,  7GB,음성기본제공,기본제공,KT,1 Mbps,없음,"44,000"
헬로모바일,11GB+/무제한,  11GB,음성기본제공,기본제공,KT,3 Mbps,없음,"49,390"
헬로모바일,15GB+/무제한,  15GB,음성기본제공,기본제공,KT,3 Mbps,없음,"54,890"
헬로모바일,100GB+/무제한,  100GB,음성기본제공,기본제공,KT,5 Mbps,없음,"49,900"
헬로모바일,1GB/100분,  1GB,100분,50건,KT,400 Kbps,없음,"19,800"
헬로모바일,15GB/100분,  15GB,100분,100건,KT,3 Mbps,없음,"45,100"
헬로모바일,100MB/무제한,  100MB,음성기본제공,기본제공,KT,없음,없음,"19,800"
헬로모바일,300MB/무제한,  300MB,음성기본제공,기본제공,KT,없음,없음,"22,990"
헬로모바일,1GB/무제한,  1GB,음성기본제공,기본제공,KT,없음,없음,"26,900"
헬로모바일,1.5GB/무제한,  1.5GB,음성기본제공,기본제공,KT,없음,없음,"15,290"
헬로모바일,2GB/무제한,  2GB,음성기본제공,기본제공,KT,없음,없음,"32,890"
헬로모바일,2GB/무제한,  2GB,음성기본제공,기본제공,KT,없음,없음,"35,900"
헬로모바일,6GB/무제한,  6GB,음성기본제공,기본제공,KT,없음,없음,"40,590"
헬로모바일,0GB/0분,-,-,-,KT,없음,없음,"9,790"
헬로모바일,500MB/50분,  500MB,50분,-,KT,없음,없음,"6,490"
헬로모바일,750MB/130분,  750MB,130분,기본제공,KT,없음,없음,"19,800"
헬로모바일,1GB/50분,  1GB,50분,-,KT,없음,없음,"10,890"
헬로모바일,1.5GB/185분,  1.5GB,185분,기본제공,KT,없음,없음,"25,300"
헬로모바일,1.5GB/200분,  1.5GB,200분,200건,KT,없음,없음,"46,200"
헬로모바일,2GB/200분,  2GB,200분,100건,KT,없음,없음,"8,800"
헬로모바일,2.5GB/250분,  2.5GB,250분,250건,KT,없음,없음,"28,600"
헬로모바일,5GB/200분,  5GB,200분,100건,KT,없음,없음,"14,300"
헬로모바일,6GB/100분,  6GB,100분,100건,KT,없음,없음,"26,400"
헬로모바일,6GB/350분,  6GB,350분,350건,KT,없음,없음,"68,200"
헬로모바일,10GB/100분,  10GB,100분,100건,KT,없음,없음,"29,700"
헬로모바일,CU 1.5GB/150분,  1.5GB,150분,150건,KT,없음,없음,"9,900"
헬로모바일,CU 2GB/100분,  2GB,100분,100건,KT,없음,없음,"18,700"
헬로모바일,CU 3GB/250분,  3GB,250분,250건,KT,없음,없음,"12,900"
헬로모바일,CU 7GB/180분,  7GB,180분,100건,KT,없음,없음,"24,500"
헬로모바일,CU 10GB/100분,  10GB,100분,100건,KT,없음,없음,"29,700"
헬로모바일,CU 10GB/300분,  10GB,300분,300건,KT,없음,없음,"36,300"
